epoch,step,n_episodes,success_rate,collision_rate,avg_reward,avg_reward_std,avg_dist_to_goal_mean,avg_dist_to_goal_std,final_dist_to_goal_mean,final_dist_to_goal_std,trajectory_error_mean,trajectory_error_std,path_length_mean,path_length_std,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,total_reward_mean,total_reward_std
1,2813,10,0.0,0.8,-69.24689521692527,27.14449584203803,5.787073705186802,0.9801185177167084,5.291979857372803,0.8143738322258187,0.6589043163258137,0.5840929474279924,10.546439100882587,14.722025541671744,26.9,37.12263460477987,8.07,11.13679038143396,-69.24689521692527,27.14449584203803
2,6782,10,0.1,0.1,-29.657765837685865,47.95386487766465,7.548192770738664,3.0122735388222397,7.848795296181356,3.155113769343388,3.2596410365250135,2.082835012641333,13.145572811633972,9.22222698407511,80.4,39.202550937407125,24.119999999999997,11.760765281222136,-29.657765837685865,47.95386487766465
3,12032,10,0.1,0.8,-34.16468682591825,52.44732299195153,5.801507649126154,2.4621431682731534,5.887098354179679,2.5166523795097375,1.6446858281680004,0.9220863991788277,18.79798791258053,25.8591503520156,22.5,27.947271780980696,6.75,8.384181534294209,-34.16468682591825,52.44732299195153
4,18340,10,0.0,0.5,-9.235061300530074,16.642187895889116,6.076042858617426,0.8245799852916438,4.264572964337326,1.6263956195260079,1.8695698927008082,0.5086118882622611,56.064723208657746,31.505854957632042,73.6,34.0476137196133,22.080000000000002,10.21428411588399,-9.235061300530074,16.642187895889116
5,29536,10,0.0,0.1,-7.649247352324826,16.23128288220542,6.5137844352736165,0.7567640576902932,6.936408410973622,2.079654419960282,3.1294887324965104,1.3756616924973972,68.10891389663234,22.62272246701734,98.5,4.5,29.55,1.35,-7.649247352324826,16.23128288220542
6,41406,10,0.0,0.4,-6.836254801460422,24.781625153027214,5.511330058521314,0.49698068651918886,4.64471583495296,1.0653311234745426,2.2032751460560616,1.0483775556914223,77.40327247739029,39.180564099757504,73.9,34.78634789684022,22.169999999999998,10.435904369052066,-6.836254801460422,24.781625153027214
7,52113,10,0.1,0.3,9.730523324534406,27.889047119828646,5.554219972329802,1.606046071524672,4.871108901586117,2.4393532731275815,2.7490481649445226,1.5422385408147639,74.11735804208274,30.838712133143943,82.0,31.54362059117501,24.599999999999998,9.463086177352503,9.730523324534406,27.889047119828646
8,61944,10,0.2,0.7,-3.1061215630301193,41.23018009796148,4.825747113754927,1.8916136059329152,3.65721800940331,2.4164235651805805,2.378300711226506,1.1641520636025615,36.52218639052005,28.571664038015154,37.2,29.501864347867915,11.159999999999998,8.850559304360376,-3.1061215630301193,41.23018009796148
9,72823,10,0.0,1.0,-63.46136976743594,32.66873220899081,6.330925504439001,1.6046430329683992,6.015063199774068,2.4546106951507562,1.205343545537654,0.691312116225211,12.886113072182317,15.96828180903513,11.9,13.300000000000002,3.5699999999999994,3.9899999999999993,-63.46136976743594,32.66873220899081
10,82050,10,0.0,0.2,-28.20941841082733,41.186445683913455,5.480411673039501,0.5822214940463307,4.967626286754661,1.1147534959229206,1.174555530631721,0.5873389912064919,66.95946069274353,47.79731188431855,80.7,38.61618831526488,24.21,11.584856494579464,-28.20941841082733,41.186445683913455
11,92787,10,0.0,0.8,-45.01727341024169,34.12694260313661,5.3436641237602345,1.496500773735252,4.460132403867989,2.7220110800905055,1.5012929657599596,1.2198452016350774,36.16228696974294,36.18659760865111,42.5,37.94271998684333,12.75,11.382815996052997,-45.01727341024169,34.12694260313661
